Model,Accuracy,ROC AUC,Precision,Recall,F1
LogisticRegression,0.8,0.824,0.9333333333333333,0.56,0.7
SVM,0.75,0.8160000000000001,0.8571428571428571,0.48,0.6153846153846154
RandomForest,0.75,0.8274285714285715,0.8571428571428571,0.48,0.6153846153846154
DecisionTree,0.6333333333333333,0.6057142857142856,0.5789473684210527,0.44,0.5
KNeighbors,0.6833333333333333,0.7445714285714286,0.875,0.28,0.42424242424242425
NaiveBayes,0.7,0.8182857142857143,0.8181818181818182,0.36,0.5
ANN,0.6833333333333333,0.776,0.6875,0.44,0.5365853658536586
